,finnish,russian
301,Oikein paljon kiitoksia.,Тебе предложили выпить?
302,Strategiamme on muututtava.,"Ну, мои понятия о надёжности человека не совпадают с понятиями Эла."
303,- Useampi vastaus. Usea?,"Вы же не думали, что Пайнс предоставлен самому себе?"
304,- Onko selvä?,"Похоже, последний бак дизеля."
305,- Menetin kaiken.,Что-то в показаниях заложников не сходится.
306,Pala.,Почему? Разве она не этого хотела?
307,Voin pyytää häntä.,"Ты публичная личность, залезай."
308,"Tässä on naapurinne todistus, jonka mukaan poistuitte kotoa - ennen iltakymmentä ja palasitte vasta hieman ennen keskiyötä.","Надеюсь, к лучшему."
309,Voin hyvin.,Попуток тут нет.
310,"Jotkut vanhemmat eivät oikaise lastaan, koska he eivät halua loukata hänen tunteitaan.",Принимается.
311,Miten niin?,Хочешь работать в прачечной в Сибири?
312,"Jos olen sairas ja heille selviää, etten pysty siihen, he tappavat minut.",- Она сказала что случилось?
313,Oletko sinäkin yksi heistä?,И за это спасибо.
314,Hän on aivokuollut eikä voi puolustautua.,Поэтому выбирайте: ваша анонимность или его.
315,Hän lähti pois sen luota.,Я больше никогда её не увижу.
316,"Akemi rauhoittui, kun näytin hänelle jälleen Jehovan nimen vanhasta Raamatustani, joka oli kirjoitettu vanhalla japanin kielellä.",Но сейчас это слишком рискованно.
317,Herra Pamppu ja Red Lobsterinsa.,Ты многое делаешь для Дэна.
318,Tarvitsen rahat.,"- Моз, а мы купим пианино? Пианино?"
319,-Isäni on parempi...,Лаборатория Чарли должна быть в нескольких минутах ходьбы от этого места.
320,"- Solomon, soita 911.","Расселл, Уэйн, Клара и Ардис родились с 1913 по 1920 год, в следующем году появилась на свет я, в 1925 году родился Кёртис."
321,- En tiedä mitä muuta on tehtävissä.,- Почему?
322,Perkele!,"Знаешь, для некоторых из нас, эти эмоциональные передряги - весь смысл жизни."
323,Voisiko hän olla?,Я бы предпочел ночь в комнате с Джеппом и тремя его сержантами игре в бридж с леди Каррингтон.
324,Hyvä saalis.,Вот так и будете бросать? Вам что всё равно?
325,Meillä on väri joka sopii hänen silmiensä väriin Entäs tää tytöt?,"Когда он утром не пришел, я как-то сразу поняла, что что-то случилось."
326,Tuossa.,Прошлое - словно другая страна.
327,Juonkin.,"Она утверждает, что сделала это по другой причине. Я хотела сделать ему больно."
328,Valehtelit sanoessasi ettet pannut häntä.,"Да нет, всё нормально. Я уже приняла решение."
329,"Venus, nyt on aika.",Да?
330,Haloo?,Упоминал ли он когда-нибудь женщину по имени Ирэн?
331,Olen valmis.,"Должно быть король лично приказал сделать это. Ты не рада, Элизабет?"
332,Ensi perjantaina kello 18?,Займемся врагом.
333,Olen kysellyt kaikenlaista tämän paikan tavaroista.,"Молодец, кретин."
334,Puhuin sosiaalityöntekijänne kanssa.,"Нарезан, кубиками, мертв."
335,"Näytän hänelle, miten mikitimme paikan.","Не такое хорошее, как твое."
336,[ Kuvien lähdemerkintä s.,Я не собирался говорить тебе об этом.
337,Tunget huumeet ahteriisi.,Я намерен встретиться с мисс Гатри и свести с ней счеты за Чарльза.
338,Et kai välitä noista säälittävistä olennoista?,"- У тебя есть, что надеть?"
339,Haiseva hengitys.,Как мне ему помочь?
340,Tilasiko neiti Riggs sukellustunnin edellisenä päivänä?,В маленькой деревушке на берегу озера Виктория друзья и родственники собрались на похороны.
341,"- Onko todisteita, että ostaisin osakkeita?",Готова?
342,"Veli Adrianin vietyä Alicen peilin, - otin lähetysnumeron talteen.",– С очень красивой и очень известной женщиной.
343,Et tule koskaan onnistumaan!,"Увидимся через час, детка или через два."
344,Minä haluaisin...,[ Сноски]
345,"Esimerkkinämme Jeesus osoitti palavaa intoa suorittaessaan Jumalalta saamansa tehtävän, johon sisältyi se, että hän ” antoi itsensä meidän puolestamme – – puhdistaakseen itselleen kansan, joka on erityisesti hänen omansa, palavan innokas hyviin tekoihin ”. Vartiotornin raamattukoulun Gileadin 101. kurssin 48 oppilasta ovat varmasti osoittaneet palavan intonsa hyviin tekoihin.","Тогда ты позвонишь Вэсу, и скажешь ему, что если не вернет нам Елену, его следующим экспериментом станет пришивание твоих рук!"
346,- En pysty tähän.,Скоро увидимся.
347,Vaimosi avaa galleriansa viikonloppuna.,Абаддон...
348,Jakes ja Johnny palaavat.,Хоббс?
349,Huomattava erikoisagentti Anthony DiNozzo.,"Тебе бы лучше помнить, что будет, если ты станешь тянуть время."
350,Erittäin häiritseviä runoja.,"- Нет, милорд, вы берете пушку."
351,Onko sinulle tarjottu mitään?,"Если хочешь вернуть своего сына, ты знаешь, что должен делать."
352,"Minun käsitykseni siitä, kuka on vastuussa ei ole sama kuin Alin.",И я горжусь...
353,- Et kai luule Wayward Pinesin käyvän itsestään?,- Всё что пожелаете.
354,- Diesel taisi loppua.,"- Она не стоит и пяти центов. И если я когда-нибудь поговорю с ней, то не по телефону."
355,Panttivankien lausunnot eivät ole yhteneväisiä.,"Если ты нас любишь, ты не должен убивать его."
