,english,finnish
395,"Reflect upon your present blessings — of which every man has many — not on your past misfortunes, of which all men have some.","Käännä katseesi nykyisiin siunaksiisiisi — joita jokaisella on useita — älä menneisyyden erheisiisi, joita jokaisella on joitakin."
396,Are you still here?,Oletko vielä täällä?
397,I persuaded him to consult a doctor.,Suostuttelin hänet menemään lääkäriin.
398,Natto smells awful but tastes delicious.,Nattō haisee kamalalta mutta maistuu herkulliselta.
399,I'm wondering if I love Tom.,Rakastankohan minä Tomia.
400,I am concerned for her safety.,Olen huolissani hänen turvallisuudestaan.
401,Tom was disillusioned.,Tomi pettyi.
402,That's OK.,Se käy.
403,Tom wants to stay.,Tom haluaa jäädä.
404,The teacher warned us that the test would be hard.,"Opettaja varoitti meitä siitä, että koe on vaikea."
405,Do you keep a dream journal?,Pidätkö unipäiväkirjaa?
406,My neck snapped when my car was hit from behind.,Niskani nytkähti kun autooni törmättiin takaapäin.
407,A diagonal matrix is positive semidefinite if and only if all of its elements are nonnegative.,"Diagonaalimatriisi on positiivisesti semidefiniitti aina ja vain, kun kaikki sen elementit ovat epänegatiivisia."
408,Tom didn't understand my French.,Tom ei ymmärtänyt minun ranskaani.
409,I'm sorry to disturb you while you're talking.,"Anteeksi, kun häritsen kesken puheesi."
410,A guide conducted the visitors round the museum.,Opas johdatti vierailijoita ympäri museon.
411,I gave each child three pieces of candy.,Annoin jokaiselle lapselle kolme karkkia.
412,"You're afraid of Tom, aren't you?","Sinä pelkäät Tomia, etkö vaan pelkääkin?"
413,Tom waited more than an hour.,Tom odotti yli tunnin.
414,Tom is harsh.,Tomi on ankara.
415,They shouted for help.,He huusivat apua.
416,Tom's car has run out of gas.,Tomin autosta loppui bensa.
417,It's all settled.,Kaikki on päätetty.
418,I have absolutely no problem with that.,Minulla ei ole minkäänlaista ongelmaa sen kanssa.
419,I think that maybe I should stop reading romance novels.,"Luulen, että minun pitäisi ehkä lopettaa romantiikkaromaanien lukeminen."
420,How was the French class?,Miten ranskantunti sujui?
421,Tom is observant.,Tomi on valpas.
422,Do you really want to learn another language?,Haluatko todella oppia toisen kielen?
423,I need some medicine to kill the pain.,Haluan jotain lääkettä helpottamaan kipua.
424,This table is heavy.,Tämä pöytä on raskas.
425,I feel sorry for Tom's parents.,Säälin Tomin vanhempia.
426,How many times a month do you write your mother?,Monestiko kuukaudessa kirjoitat äidillesi?
427,You don't need to make a big deal about it!,Sinun ei tarvitse tehdä siitä mitään suurta numeroa!
428,I'm a Japanese teacher.,Olen japaninopettaja.
429,There is a time for everything.,Aikansa kutakin.
430,We live on a planet called Earth that is part of our solar system. But where is our solar system? It’s a small part of the Milky Way Galaxy.,"Me asumme planeetalla nimeltään Maa, joka on osa aurinkokuntaamme. Mutta missä on aurinkokuntamme? Se on pieni osa Linnunrata-galaksia."
431,Sprinkle the gratin with parmesan.,Ripottele paistoksen päälle parmesaanijuustoa.
432,I'm eating.,Minä syön.
433,A passport is something you cannot do without when you go to a foreign country.,"Passi on sellainen asia, jota ilman et pärjää, kun menet ulkomaille."
434,"Judging from his report, the project seems to be going well.",Hänen raportistaan päätellen hanke näyttää edistyvän hyvin.
435,What do you wanna eat?,Mitä haluat syödä?
436,I swear that I will tell you everything some day.,"Vannon, että kerron sinulle kaiken jonain päivänä."
437,A map helps us study geography.,Kartta auttaa meitä tutkimaan maantiedettä.
438,What do you think I've been doing?,Mitä luulet että olen tehnyt?
439,You're a little too old for me.,Olet vähän liian vanha minulle.
440,"My name is Noelia, and you are?",Minä olen Noelia. Kuka sinä olet?
441,Don't say that you can't do it before trying. You're not even doing it so how can you say that you can't do it?,"Älä sano, ettet osaa tehdä sitä ennen kuin yrität. Sinä et edes tee sitä, joten miten sinä voit sanoa, että et osaa tehdä sitä?"
442,Finland is on the map.,Suomi on kartalla.
443,Tom is still in his pajamas.,Tom on vieläkin yöpukusillaan.
444,Tom drank himself into a stupor when Mary walked out on him.,"Tom joi itsensä tolkuttomaksi, kun Mari jätti hänet."
445,He was my first love.,Hän oli minun ensirakkauteni.
446,Be just and you will be happy.,"Ole oikeudenmukainen, niin olet onnellinen."
447,"If you think that you'll learn to speak English just by going to America, then you're sorely mistaken.","Jos luulet oppivasi puhumaan englantia pelkästään menemällä Yhdysvaltoihin, olet erehtynyt karkeasti."
448,I'll be late.,Minä myöhästyn.
449,I'd like to play tennis with you some day.,Mä haluisin pelaa sun kaa tennistä joku päivä.
450,How much do you weigh?,Paljonko sinä painat?
451,These are genuine.,Nämä ovat aitoja.
452,I didn't hack into anybody's computer.,En ole hakkeroinut kenenkään tietokonetta.
453,I don't know what Tom does nowadays.,"Minä en tiedä, mitä Tomi tekee nykyisin."
454,Will it clear up this afternoon?,Onkohan iltapäivällä poutaa?
455,They had no alternative energy sources.,Heillä ei ollut mitään vaihtoehtoista energialähdettä.
456,That's not so important.,Se ei ole niin tärkeää.
457,How long do I have to wait?,Kuinka pitkään minun on odotettava?
458,I want you to want me.,Haluan sinun haluavan minua.
459,You've got to go now.,Nyt sinun täytyy mennä.
460,A lunar month is shorter than a calendar month.,Kuunkierron mukainen kuukausi on lyhyempi kuin kalenterikuukausi.
461,Is that a wig?,Onko se peruukki?
462,All the audience was excited.,Koko yleisö oli innoissaan.
463,Tom asked Mary to stay at home until the babysitter got there.,Tom pyysi Maryä jäämään kotiin kunnes lapsenvahti tulee sinne.
464,You'll never know unless you try.,"Sinä et saa koskaan tietää, jos et koeta."
465,It is difficult to make him happy.,On vaikeata tehdä hänet onnelliseksi.
466,He learns fast.,Hän oppii nopeasti.
467,What Tom said was besides the point.,Tomin kommentti ei liittynyt asiaan.
468,Where did you take your shoes off?,Mihin sinä riisuit kenkäsi?
469,"Happy birthday to you! Happy birthday to you! Happy birthday, dear Mary! Happy birthday to you!","Paljon onnea vaan! Paljon onnea vaan! Paljon onnea, Mari! Paljon onnea vaan!"
470,Would anybody like more coffee?,Haluaisiko joku lisää kahvia?
471,This is our first lesson.,Tämä on ensimmäinen oppituntimme.
472,We have no room.,Meillä ei ole tilaa.
473,There is a call for you.,Sinulle on puhelu.
474,"A galaxy is a huge collection of gas, dust, and of stars and their solar systems.","Galaksi on valtava kokoelma kaasua, pölyä sekä tähtiä ja niiden planeettakuntia."
475,Tom fell and broke his arm.,Tomi kaatui ja mursi kätensä.
476,What do you make?,Mitä te teette?
477,Tom didn't want to eat the worms even though they were high in protein.,"Tom ei halunnut syödä matoja, vaikka niissä oli paljon proteiinia."
478,Why does the rag in your hand smell so good?,Miksi rätti kädessäsi haisee niin hyvältä?
479,Tom was startled.,Tomi oli säikähtänyt.
480,"The optimist looks into a mirror and becomes more optimistic, the pessimist more pessimistic.","Optimisti katsoo peiliin ja tulee optimistisemmaksi, pessimisti pessimistisemmäksi."
481,That's not difficult to do.,Sitä ei ole vaikea tehdä.
482,He was somewhat excited.,Hän oli hieman kiihtynyt.
483,My brother won't be at home tomorrow.,Veljeni ei tule olemaan kotona huomenna.
484,Tom didn't know what to say.,Tom ei tiennyt mitä sanoa.
485,You have a beautiful voice.,Sinulla on kaunis ääni.
486,He can play the flute.,Hän osaa soittaa huilua.
487,This is a personal decision for every person.,Tämä on henkilökohtainen päätös jokaiselle ihmiselle.
488,Tom can hardly speak French at all.,Tom osaa hädin tuskin puhua yhtään ranskaa.
489,It is contrary to the morals.,Se on vastoin moraalia.
490,We live ten minutes away from him.,Asumme kymmenen minuutin päässä hänestä.
491,Tom wanted to spend more time with his family.,Tomi halusi viettää enemmän aikaa hänen perheensä kanssa.
492,You've convinced me.,Sait minut puhuttua ympäri.
493,Were you intoxicated?,Olitteko te juovuksissa?
494,You've got a great memory.,Sinulla on loistava muisti.
495,I think it's time for me to buy my son a car.,"Luulen, että on tullut aika ostaa pojalleni auto."
496,"It's been raining heavily since this morning, so I don't want to go anywhere.","On satanut rankasti aamusta alkaen, joten en halua mennä mihinkään."
497,He is crazy.,Hän on hullu.
498,Everything is ready!,Kaikki on valmiina.
499,We are about to sit down to dinner.,Olemme juuri istumassa illallispöytään.
500,Each student has their own computer.,Jokaisella opiskelijalla on oma tietokone.
501,I'm going.,Minä olen menossa.
502,"He's at the dock, drinking with homeless guys.","Hän on satamassa, ryyppäämässä kodittomien kanssa."
503,Some of you are lesbians too.,Jotkut teistä ovat myös lesboja.
504,Please hurry.,Ole hyvä ja pidä kiirettä.
505,She was more beautiful than all the others.,Hän oli kauniimpi kuin kukaan muu.
506,They were treated for hypothermia.,Heidän paleltumistaan hoidettiin.
507,The plane landed on my dad's farm.,Kone laskeutui isäni tilalle.
508,Tell your friends about Tatoeba.,Kerro ystävillesi Tatoebasta.
509,I assume that Tom can swim.,"Oletan, että Tomi osaa uida."
510,Tom is very afraid of dogs.,Tomilla on voimakas koirakammo.
511,Tom is no saint.,Tom ei ole mikään pyhimys.
512,Lalita called.,Lalita soitti.
513,Love is not what you think.,Rakkaus ei ole mitä luulet.
514,You seem to be tired.,Näytät väsyneeltä.
515,I have a small fever.,Minulla on pientä kuumetta.
516,No kidding?,Ootsä ihan tosissas?
517,Never talk to strangers.,Älä puhu koskaan vieraille ihmisille.
518,A lot of people attended Tom's funeral.,Tomin hautajaisiin osallistui paljon ihmisiä.
519,We open the door.,Me avaamme oven.
520,He wants to save the planet.,Hän haluaa pelastaa planeetan.
521,Can someone tell me why Tom is angry?,"Voiko joku kertoa minulle, miksi Tom on vihainen?"
522,The kids are asleep.,Muksut ovat unessa.
523,I think Tatoeba is slow today.,Minusta Tatoeba on hidas tänään.
524,Let's toss a coin.,Heitetään kolikkoa.
525,What's this smell?,Mikä tämä haju on?
526,It's totally dark outside.,Ulkona on pilkkopimeää.
527,You've earned this.,Olet ansainnut tämän.
528,I lost my passport!,Kadotin passini!
529,I can't believe you're doing this to me.,"En voi uskoa, että teet näin minulle."
530,Tom is used to getting his way.,Tomi on tottunut saamaan haluamansa.
531,What did Tom suggest?,Mitä Tom ehdotti?
532,"I know no freer country than my own, for never do I bother leaving home.","En tiedä vapaampaa maata kuin omani, sillä en koskaan vaivaannu lähtemään pois kotoani."
533,Dinner!,Illallista!
534,I'm going to see a horror film.,Minä menen katsomaan kauhuelokuvaa.
535,I'm very sorry for what I said.,Olen tosi pahoillani siitä mitä sanoin.
536,The mouse was eaten by the cat.,Kissa söi hiiren.
537,Tom wants me to join his team.,Tomi haluaa minun liittyvän hänen ryhmäänsä.
538,Did you get the flowers I sent the other day?,Saitko kukat jotka lähetin tässä eräänä päivänä?
539,"While you drive, you should focus on the road.","Silloin kun ajat, pitäisi sinun keskittyä tiehen."
540,"This book is written in simple English, so it's easy to read.","Tämä kirja on kirjoitettu yksinkertaisella englannilla, joten se on helppolukuinen."
541,I remember you often went to Betty's house to tea when you were a little girl.,"Muistan, että kävit usein Bettyn luona teellä, kun olit pieni tyttö."
542,You were just doing your duty.,Teit vain velvollisuutesi.
543,She's playing Monopoly.,Hän pelaa Monopolia.
544,It tastes a little bitter.,Se maistuu vähän karvaalta.
545,I admire him for his courage.,Ihailen häntä hänen rohkeutensa ansiosta.
546,Did you forget to talk to Tom this morning?,Unohditko puhua Tomin kanssa tänä aamuna?
547,I don't want to lose my job.,En halua menettää työtäni.
548,I'm not leaving without them.,Minä en aio lähteä ilman heitä.
549,May I have your name?,Sopiiko tiedustella nimeänne?
550,Cook the rice.,Keitä riisi.
551,Tom accepted an expensive gift from Mary.,Tommi otti vastaan kalliin lahjan Marilta.
552,I'm out of options.,Minulla ei ole vaihtoehtoja.
553,I know the song.,Minä osaan sen laulun.
554,It's better for you not to see my grandpa.,On parempi sinulle ettet näe isoisääni.
555,My brain doesn't seem to be working well today.,"Vaikuttaa siltä, että aivoni eivät toimi tänään kovin hyvin."
556,Have you thought about what time of year you want to get married?,Oletko miettinyt mihin vuodenaikaan haluat mennä naimisiin?
557,Tom decided to stay.,Tom päätti jäädä.
558,I can't think of his name just now.,Hänen nimensä ei juuri nyt tule mieleen.
559,Tom ran down the hill.,Tom juoksi mäkeä alas.
560,I'll go do that.,Minä menen tekemään sen.
561,"Women know fuck all about football. ""Yeah? Well, men know fuck all about knitting.""","Ei ämmät tiedä vittuakaan futiksesta! ""Jaa? No äijät ei tiedä vittuakaan virkkomisesta""."
562,"While you drive, you should focus on the road.","Kun ajat, sinun pitäisi keskittyä tiehen."
563,Maybe you should punish me.,Ehkä sinun pitäisi rangaista minua
564,"Christmas is soon, isn't it?",Kohta se joulukin tulee.
565,Cows give us milk and chickens give us eggs.,Lehmät antavat meille maitoa ja kanat munia.
566,It was a waste of time.,Se oli ajanhukkaa.
567,Hey guys!,Hei tyypit!
568,Stick it up your arse.,Työnnä se perseeseesi!
569,Tom was tough.,Tom oli vaativa.
570,Tom doesn't read very often.,Tomi ei lue kovin usein.
571,You have something stuck in your teeth.,Sulla on jotain hampaiden välissä.
572,Take off your tie.,Ota solmiosi pois.
573,There are three intelligent species on the planet.,Planeetalla on kolme älykästä lajia.
574,This tea tastes good.,Tämä tee maistuu hyvälle.
575,The girls work.,Tytöt tekevät töitä.
576,I want you to understand this.,"Haluan, että ymmärrät tämän."
577,The street is wet.,Katu on märkä.
578,Your compassion never ceases to amaze me.,Myötätuntosi ei koskaan lakkaa hämmästyttämästä minua.
579,He leaned against the wall.,Hän nojasi muuria vasten.
580,Is this your bike?,Onko tämä fillarisi?
581,"If I had known, I would not have come.","Jos olisin tietänyt, en olisi tullut."
582,Tom wasn't sure.,Tom ei ollut varma.
583,Rutherford Hayes was born in Ohio in 1822.,Rutherford Hayes syntyi Ohiossa vuonna tuhatkahdeksansataakaksikymmentäkaksi.
584,How on earth can you do such a thing?,Miten ihmeessä pystyit tekemään tuommoista?
585,Thanks for coming.,Kiitos kun tulitte!
586,You should not respect a man because he is rich.,Sinun ei pitäisi kunnioittaa miestä rikkauden tähden.
