,english,russian
472,Spiders are loathsome little creatures.,Пауки — отвратительные маленькие существа.
473,I want to know where it is.,"Я хочу знать, где это."
474,A kiss without a mustache is like a bowl of soup with no salt.,"Поцелуй без усов, как суп без соли."
475,Have you tried talking to him?,Ты пробовал с ним поговорить?
476,Where are the other prisoners?,Где остальные заключённые?
477,"Today, many things happened.",Сегодня столько всего произошло.
478,I saw a car hit a man.,"Я видел, как машина сбила человека."
479,We accepted their invitation.,Мы приняли их приглашение.
480,Tom was working with Mary.,Том работал с Мэри.
481,I'm awfully tired.,Я до смерти устал.
482,Do you know what your children are doing right now?,"Ты знаешь, что сейчас делают твои дети?"
483,Do you want her to stay?,"Хотите, она останется?"
484,He misses her.,Он по ней скучает.
485,Please tell me I'm right.,"Скажи мне, пожалуйста, что я прав."
486,We saw a castle ahead of us.,Мы увидели перед собой замок.
487,Tom continued to tickle her.,Том продолжал её щекотать.
488,Six comes before seven.,Шесть идёт перед семью.
